Station;hh;jj;mm;aaaa;temp
Abbeville;00;01;01;2014;5.5
Lille-Lesquin;00;01;01;2014;6.5
Pte De La Hague;00;01;01;2014;9.4
Caen-Carpiquet;00;01;01;2014;5.5
Rouen-Boos;00;01;01;2014;4.6
Reims-Prunay;00;01;01;2014;6.4
Brest-Guipavas;00;01;01;2014;9.7
Ploumanac'H;00;01;01;2014;7.4
Rennes-St Jacques;00;01;01;2014;6.4
Alencon;00;01;01;2014;5.5
Orly;00;01;01;2014;6.7
Troyes-Barberey;00;01;01;2014;6.2
Nancy-Ochey;00;01;01;2014;4.4
Strasbourg-Entzheim;00;01;01;2014;2.7
Belle Ile-Le Talut;00;01;01;2014;11.3
Nantes-Bouguenais;00;01;01;2014;6.4
Tours;00;01;01;2014;6.5
Bourges;00;01;01;2014;6.0
Dijon-Longvic;00;01;01;2014;5.1
Bale-Mulhouse;00;01;01;2014;0.4
Pte De Chassiron;00;01;01;2014;11.4
Poitiers-Biard;00;01;01;2014;6.9
Limoges-Bellegarde;00;01;01;2014;6.1
Clermont-Fd;00;01;01;2014;9.1
Le Puy-Loudes;00;01;01;2014;4.9
Lyon-St Exupery;00;01;01;2014;8.4
Bordeaux-Merignac;00;01;01;2014;8.5
Gourdon;00;01;01;2014;7.2
Millau;00;01;01;2014;5.5
Montelimar;00;01;01;2014;6.9
Embrun;00;01;01;2014;-0.9
Mont-De-Marsan;00;01;01;2014;7.9
Tarbes-Ossun;00;01;01;2014;5.8
St Girons;00;01;01;2014;1.9
Toulouse-Blagnac;00;01;01;2014;6.0
Montpellier;00;01;01;2014;7.9
Marignane;00;01;01;2014;9.7
Cap Cepet;00;01;01;2014;7.8
Nice;00;01;01;2014;5.6
Perpignan;00;01;01;2014;3.6
Ajaccio;00;01;01;2014;4.2
Bastia;00;01;01;2014;5.5
Glorieuses;00;01;01;2014;27.0
Europa;00;01;01;2014;26.3
Tromelin;00;01;01;2014;26.6
Gillot-Aeroport;00;01;01;2014;26.6
Nouvelle Amsterdam;00;01;01;2014;12.2
Crozet;00;01;01;2014;11.5
Kerguelen;00;01;01;2014;9.3
Pamandzi;00;01;01;2014;27.5
St-Pierre;00;01;01;2014;-6.0
